iter	Passed	Remaining
416	2488	3478
417	2492	3470
418	2497	3463
419	2502	3455
420	2507	3448
421	2512	3441
422	2517	3433
423	2522	3426
424	2527	3420
425	2534	3415
426	2544	3414
427	2553	3412
428	2562	3410
429	2570	3407
430	2577	3402
431	2583	3396
432	2589	3391
433	2595	3385
434	2602	3379
435	2608	3374
436	2614	3368
437	2622	3364
438	2628	3358
439	2648	3371
440	2658	3369
441	2664	3364
442	2671	3358
443	2676	3352
444	2681	3344
445	2686	3337
446	2691	3330
447	2696	3322
448	2702	3316
449	2705	3306
450	2709	3298
451	2714	3291
452	2719	3283
453	2724	3276
454	2729	3269
455	2734	3261
456	2739	3255
457	2744	3248
458	2749	3240
459	2754	3233
460	2760	3227
461	2766	3221
462	2771	3214
463	2776	3207
464	2781	3200
465	2786	3192
466	2790	3185
467	2795	3178
468	2800	3170
469	2805	3163
470	2810	3156
471	2815	3149
472	2820	3142
473	2825	3135
474	2830	3128
475	2835	3121
476	2839	3113
477	2844	3106
478	2849	3099
479	2854	3092
480	2859	3085
481	2864	3078
482	2870	3072
483	2876	3067
484	2883	3061
485	2889	3056
486	2895	3050
487	2902	3045
488	2908	3039
489	2916	3035
490	2922	3029
491	2928	3024
492	2933	3017
493	2938	3009
494	2943	3003
495	2948	2995
496	2953	2988
497	2958	2982
498	2970	2982
499	2977	2977
500	2981	2969
501	2987	2963
502	2993	2957
503	2999	2951
504	3005	2946
505	3011	2940
506	3017	2934
507	3022	2927
508	3028	2921
509	3034	2915
510	3041	2910
511	3047	2905
512	3056	2901
513	3064	2897
514	3069	2890
515	3074	2883
516	3078	2876
517	3083	2869
518	3088	2862
519	3093	2855
520	3098	2848
521	3103	2841
522	3108	2834
523	3113	2828
524	3118	2821
525	3123	2814
526	3131	2810
527	3139	2806
528	3144	2799
529	3149	2792
530	3154	2786
531	3160	2780
532	3165	2773
533	3170	2767
534	3176	2760
535	3181	2753
536	3186	2747
537	3190	2739
538	3196	2733
539	3201	2727
540	3207	2721
541	3214	2716
542	3220	2710
543	3226	2704
544	3232	2699
545	3239	2693
546	3245	2687
547	3251	2682
548	3257	2676
549	3263	2670
550	3270	2664
551	3275	2658
552	3280	2652
553	3285	2645
554	3290	2638
555	3295	2631
556	3300	2625
557	3305	2618
558	3310	2611
559	3315	2604
560	3322	2599
561	3328	2594
562	3334	2588
563	3340	2582
564	3346	2576
565	3352	2570
566	3359	2565
567	3365	2559
568	3371	2553
569	3377	2548
570	3384	2542
571	3390	2536
572	3396	2531
573	3402	2525
574	3408	2519
575	3414	2513
576	3420	2507
577	3425	2500
578	3430	2494
579	3435	2487
580	3440	2480
581	3445	2474
582	3449	2467
583	3456	2462
584	3463	2456
585	3468	2450
586	3472	2443
587	3477	2436
588	3483	2430
589	3488	2423
590	3493	2417
591	3495	2409
592	3500	2402
593	3505	2396
594	3510	2389
595	3516	2383
596	3522	2378
597	3529	2372
598	3535	2367
599	3541	2361
600	3548	2355
601	3553	2349
602	3559	2343
603	3564	2336
604	3568	2330
605	3574	2323
606	3578	2317
607	3583	2310
608	3588	2304
609	3593	2297
610	3598	2290
611	3603	2284
612	3608	2278
613	3613	2271
614	3618	2265
615	3625	2260
616	3631	2254
617	3637	2248
618	3641	2241
619	3646	2235
620	3651	2228
621	3656	2222
622	3661	2215
623	3666	2209
624	3673	2204
625	3679	2198
626	3684	2191
627	3689	2185
628	3693	2178
629	3699	2172
630	3704	2166
631	3709	2159
632	3714	2153
633	3719	2146
634	3724	2140
635	3729	2134
636	3734	2127
637	3738	2121
638	3743	2114
639	3748	2108
640	3753	2102
641	3758	2096
642	3763	2089
643	3768	2083
644	3773	2076
645	3778	2070
646	3783	2064
647	3788	2057
648	3792	2051
649	3797	2045
650	3802	2038
651	3807	2032
652	3812	2026
653	3817	2019
654	3822	2013
655	3827	2007
656	3832	2000
657	3837	1994
658	3842	1988
659	3844	1980
660	3849	1974
661	3854	1967
662	3859	1961
663	3864	1955
664	3869	1949
665	3874	1943
666	3879	1936
667	3884	1930
668	3889	1924
669	3894	1918
670	3899	1911
671	3904	1905
672	3909	1899
673	3914	1893
674	3918	1886
675	3924	1880
676	3929	1874
677	3934	1868
678	3939	1862
679	3944	1856
680	3952	1851
681	3959	1846
682	3965	1840
683	3972	1835
684	3985	1832
685	3993	1828
686	4000	1822
