iter	RMSE
210	0.7114824601
211	0.7106966436
212	0.7048022447
213	0.7013077852
214	0.7004822877
215	0.695129159
216	0.6902625778
217	0.6847056291
218	0.6789317792
219	0.6746196306
220	0.6716650935
221	0.6668088551
222	0.6645704074
223	0.6639077298
224	0.6589353017
225	0.6562553335
226	0.6518518672
227	0.6458941523
228	0.6393669251
229	0.6341336264
230	0.6322208885
231	0.6277430178
232	0.6268661438
233	0.6244071495
234	0.622335472
235	0.6195149371
236	0.6150734834
237	0.6121813215
238	0.6103612048
239	0.6056091775
240	0.6049117149
241	0.6025290226
242	0.5985741781
243	0.5972687748
244	0.5931824068
245	0.5905751787
246	0.589899777
247	0.5873269613
248	0.5867886197
249	0.58351814
250	0.580862124
251	0.5803533789
252	0.5771070041
253	0.5759595157
254	0.5737791535
255	0.5717287466
256	0.5705726386
257	0.5685771556
258	0.5645838127
259	0.5608917605
260	0.5567562643
261	0.5524691554
262	0.5519309753
263	0.547927317
264	0.5470018023
265	0.5463775981
266	0.5427994692
267	0.5386321317
268	0.5345625736
269	0.5307684422
270	0.5289041378
271	0.526323511
272	0.5259532736
273	0.5233101677
274	0.5222393097
275	0.5199517441
276	0.518070499
277	0.5159995173
278	0.5135762858
279	0.5089162896
280	0.5049344276
281	0.5019262776
282	0.5002061633
283	0.4997360382
284	0.4959083716
285	0.4949668056
286	0.4934317393
287	0.4911535748
288	0.4882828558
289	0.4863768744
290	0.4851478023
291	0.4820446487
292	0.479896974
293	0.4757492186
294	0.4751465552
295	0.4718438148
296	0.469654676
297	0.4664642217
298	0.4653693466
299	0.4648292033
300	0.4644075096
301	0.4615870358
302	0.4576373766
303	0.4537244574
304	0.4511466378
305	0.4491838841
306	0.4465167284
307	0.4456937856
308	0.4436677341
309	0.4414061682
310	0.438575708
311	0.4364826592
312	0.434523491
313	0.4340657201
314	0.4337195071
315	0.4333366346
316	0.4303631063
317	0.4299900656
318	0.4288311486
319	0.4267394092
320	0.4233631596
321	0.422262962
322	0.419391636
323	0.418956942
324	0.4178252792
325	0.4146921992
326	0.4143175264
327	0.410901512
328	0.4090186279
329	0.4085074458
330	0.4043888679
331	0.4020146991
332	0.4009315933
333	0.4005614435
334	0.3988401817
335	0.3984948329
336	0.394903514
337	0.3921016559
338	0.3898418732
339	0.3883195614
340	0.3849660935
341	0.3840395938
342	0.3812546364
343	0.380764578
344	0.3775252456
345	0.3754064198
346	0.373026095
347	0.3710642887
348	0.3690257469
349	0.3680747974
350	0.3656919073
351	0.3623110995
352	0.361255639
353	0.3591851353
354	0.3583561241
355	0.3576957306
356	0.3558930844
357	0.3544329941
358	0.3522419717
359	0.3511202718
360	0.3484154431
361	0.3480774209
362	0.3461462193
363	0.3437293075
364	0.3420204118
365	0.3399967576
366	0.3379909292
367	0.3370810069
368	0.335129582
369	0.3333396181
370	0.3328847763
371	0.3306479752
372	0.330182079
373	0.3298543001
374	0.3274237813
375	0.3259544854
376	0.3232068299
377	0.3220269752
378	0.3194608568
379	0.3191718677
380	0.3179499652
381	0.3155877449
382	0.3149406002
383	0.3135001
384	0.312048552
385	0.3111206613
386	0.3090481575
387	0.3077562541
388	0.3075179639
389	0.3066693746
390	0.3047532656
391	0.3045224983
392	0.3028612812
393	0.3001367057
394	0.2978963605
395	0.2972840298
396	0.2964787005
397	0.294926387
398	0.2929324429
399	0.2910650456
400	0.2893184091
401	0.2878285667
402	0.2861574564
403	0.2847941152
404	0.2833518941
405	0.281348284
406	0.2799453424
407	0.2785730881
408	0.2767502501
409	0.2748125642
410	0.2733006506
411	0.2726004601
412	0.2723897129
413	0.2709203222
414	0.2703615244
415	0.269062795
416	0.2669301987
417	0.266004984
418	0.2654674084
419	0.2640301242
420	0.2638119545
421	0.2625170436
422	0.2612273794
423	0.2602442073
424	0.2584875212
425	0.2575309217
426	0.2558464524
427	0.2543090837
428	0.2541061922
429	0.2523621277
430	0.2513800651
431	0.2507396263
432	0.2502294739
433	0.2500501546
434	0.2485377359
435	0.2469236484
436	0.2460010836
437	0.2458244965
438	0.2442416327
439	0.2428970375
440	0.2419621728
441	0.24055966
442	0.2397214722
443	0.238672324
444	0.2377141953
445	0.2372123068
446	0.2355621062
447	0.2336159889
448	0.2324208164
449	0.2322536408
450	0.2312307087
451	0.2300509585
452	0.2284025614
453	0.2277439277
454	0.2266152295
455	0.2264533286
456	0.2251799494
457	0.2239929039
458	0.2228361789
459	0.2209665456
460	0.2202083555
461	0.219451524
462	0.2189422215
463	0.2176801948
464	0.2165493604
465	0.2150616359
466	0.2139272056
467	0.2132488732
468	0.2129693219
469	0.2117049499
470	0.2115469924
471	0.2107369707
472	0.2103748971
473	0.209591339
474	0.2083092103
475	0.2080319138
476	0.2065584197
477	0.205896326
478	0.205154377
479	0.204834127
480	0.2035670807
481	0.2032079772
482	0.2020513246
483	0.2010431752
484	0.1996934938
485	0.1994589846
486	0.198483164
487	0.1979148354
488	0.1971268981
489	0.1966167541
490	0.1961763362
491	0.195339295
492	0.1944676709
493	0.1940985276
494	0.1938112122
495	0.1922808016
496	0.1920358251
497	0.1907978048
498	0.1898360318
499	0.1890310254
500	0.1888960884
501	0.1878304249
502	0.1865609686
503	0.185325353
504	0.1850788478
505	0.1848707981
506	0.1836628688
507	0.1824202151
508	0.1814070642
509	0.1805459492
510	0.1802758822
511	0.1793047092
512	0.1791744431
513	0.1789598012
514	0.1779090849
515	0.1773550509
516	0.1760400459
517	0.175355207
518	0.1742989193
519	0.173387814
520	0.1729887932
521	0.1728594623
522	0.1720578578
523	0.1710046868
524	0.1704280583
525	0.1695392627
526	0.1684537614
527	0.1682788617
528	0.1673076341
529	0.1666396162
530	0.1655430481
531	0.1653571184
532	0.164868161
533	0.1640548545
534	0.1629881965
535	0.1626597336
536	0.1618450191
537	0.161744446
538	0.1610666836
539	0.1601661778
540	0.1596477677
541	0.1588567089
542	0.1582605299
543	0.1572812863
544	0.1571166634
545	0.1563636053
546	0.1554949862
547	0.1551761862
548	0.1543091592
549	0.1535957014
550	0.1534366355
551	0.1525936018
552	0.1520429563
553	0.1513275026
554	0.150562051
555	0.1504644042
556	0.1502942955
557	0.149444315
558	0.1493198761
559	0.148402556
560	0.1479841572
561	0.1466477793
562	0.14589808
563	0.1457262688
564	0.1451080059
565	0.1440988786
566	0.1437031316
567	0.1431114589
568	0.1429679886
569	0.142218608
570	0.1415897633
571	0.1407666142
572	0.1404353969
573	0.1394974372
574	0.1389511266
575	0.13803528
576	0.1379245475
577	0.1376325522
578	0.1368214964
579	0.1361955776
580	0.1352805907
581	0.1351394762
582	0.1345536435
583	0.1340339548
584	0.1334689614
585	0.1328742437
586	0.1327560892
587	0.131896975
588	0.1315326982
589	0.1312877063
590	0.1309265995
591	0.1308524731
592	0.1301347817
593	0.1300029478
594	0.1298706326
595	0.1287908107
596	0.1278806887
597	0.1277424395
598	0.1272438429
599	0.1262959165
600	0.1262179814
601	0.1260804367
602	0.1260080452
603	0.1253812236
604	0.1249459522
605	0.1248745414
606	0.1247136896
607	0.1240718766
608	0.1233035794
609	0.1227326994
610	0.1221113205
611	0.1215345185
612	0.1207830026
613	0.1207218098
614	0.1201931462
615	0.1198814034
616	0.1197564483
617	0.1193959654
618	0.1187409481
619	0.1179955045
620	0.1175334979
621	0.1168936713
622	0.1168267776
623	0.1163947892
624	0.115605599
625	0.1151211751
626	0.1150216964
627	0.1146506595
628	0.1141840318
629	0.1136939894
630	0.1130225729
631	0.1122128925
632	0.111339012
633	0.1107354566
634	0.1099842017
635	0.1099227083
636	0.1098561033
637	0.1092595083
638	0.1088746603
639	0.108245202
640	0.1081832704
641	0.1075361637
642	0.1067823883
643	0.106293996
644	0.1056681093
645	0.1054721439
646	0.1046654884
647	0.1039409694
648	0.1036095809
649	0.1030088911
650	0.1025523946
651	0.1022461253
652	0.1018123524
653	0.1013163521
654	0.10091563
655	0.1005655219
656	0.1000215276
657	0.09966676286
658	0.0992772904
659	0.0992105275
660	0.09864632495
661	0.09806387425
662	0.097615241
663	0.09706979432
664	0.09648586425
665	0.09635328746
666	0.0956291254
667	0.09543508146
668	0.09497146922
669	0.09458110976
670	0.09438452108
671	0.09393167389
672	0.09357262247
673	0.09319131275
674	0.09285641377
675	0.09247055537
676	0.09241808084
677	0.0920934017
678	0.09152772335
679	0.09115828341
680	0.09058397896
681	0.09001752048
682	0.08957496006
683	0.08942241507
684	0.08900465728
685	0.08877500484
686	0.08856500509
687	0.08848778805
688	0.08823253267
689	0.08797974686
690	0.08789423191
691	0.08750177019
692	0.08743269998
693	0.08712939193
694	0.08644172178
695	0.0861857303
696	0.08584096517
697	0.08551629859
698	0.08502352947
699	0.08492296184
700	0.0844830432
701	0.08404230894
702	0.08392279121
703	0.08380872395
704	0.08318042387
705	0.08276711163
706	0.08270061077
707	0.08261147756
708	0.08203065288
709	0.08188278772
710	0.08134434298
711	0.08070677727
712	0.08044362702
713	0.08014207376
714	0.07970304158
715	0.07936370539
716	0.07894726791
717	0.07866794806
718	0.07826059095
719	0.07790485265
720	0.07741816081
721	0.0773553242
722	0.07675438791
723	0.07646663832
724	0.07613656824
725	0.07582837189
726	0.07549868817
727	0.07506786598
728	0.07462472492
729	0.07422571025
730	0.07378599355
731	0.0734835735
732	0.07296895951
733	0.07236651803
734	0.07194536985
735	0.07163097705
736	0.07135078247
737	0.07083159737
738	0.07051467063
739	0.07031001898
740	0.07003597029
741	0.06952436544
742	0.0691383425
743	0.06870544168
744	0.06850501314
745	0.06817072668
746	0.0681129935
747	0.06767808311
748	0.0676223315
749	0.06753900654
750	0.06749112412
751	0.06726640758
752	0.06684054513
753	0.06651666089
754	0.06635845386
755	0.06608156213
756	0.06574425194
757	0.06523586749
758	0.06495948157
759	0.06463995973
760	0.06429185114
761	0.06420217545
762	0.063940133
763	0.06369495483
764	0.0636485277
765	0.06333103102
766	0.06301360418
767	0.06280164862
768	0.06273634452
769	0.06267720513
770	0.06240474535
771	0.06206866369
772	0.06175912967
773	0.06143225602
774	0.06124123101
775	0.06083172404
776	0.06038302699
777	0.06028929594
778	0.0599628549
779	0.05960546273
780	0.05932401659
781	0.05899900977
782	0.05881350083
783	0.05876956826
784	0.05841159248
785	0.05814210685
786	0.05788682503
787	0.05756878871
788	0.05728181833
789	0.05710516476
790	0.05695581508
791	0.05690407622
792	0.05665541876
793	0.05634605374
794	0.05596513099
795	0.05575170349
796	0.05564053565
797	0.05542193877
798	0.05512469786
799	0.05470327094
800	0.05440637788
801	0.05416440785
802	0.05379457291
803	0.05345314834
804	0.05337219798
805	0.05320950912
806	0.05296819883
807	0.05293593166
808	0.05280518213
809	0.05248040164
810	0.05218135091
811	0.05210682211
812	0.05194349718
813	0.05176287972
814	0.05162392564
815	0.05139290351
816	0.05102987933
817	0.05066341199
818	0.05040919387
819	0.05024636549
820	0.05003253282
821	0.04975732286
822	0.04971900964
823	0.04951702069
824	0.04947538345
825	0.04942771324
826	0.04937293963
827	0.04896083872
828	0.04872599032
829	0.04865556579
830	0.04857266838
831	0.04836141909
832	0.04825919362
833	0.04818749942
834	0.04784882932
835	0.04771541086
836	0.0476454634
837	0.04731377079
838	0.04713588804
839	0.04694436398
840	0.046879525
841	0.04658487024
842	0.04639136672
843	0.0461944144
844	0.04592147946
845	0.04563020566
846	0.04528739734
847	0.04494643091
848	0.0446964038
849	0.04447766671
850	0.04445006735
851	0.04429824047
852	0.04404411973
853	0.04381057302
854	0.04360481696
855	0.04337578791
856	0.04326516215
857	0.04306819257
858	0.0429349032
859	0.04269461047
860	0.04258117015
861	0.04240860323
862	0.04214006532
863	0.04200094417
864	0.04174889166
865	0.04157486225
866	0.04136562824
867	0.04115653947
868	0.04094455727
869	0.04074775263
870	0.04057671787
871	0.0402799884
872	0.04024350623
873	0.04010645316
874	0.03994083818
875	0.03989913615
876	0.03969822162
877	0.03952625305
878	0.03937889635
879	0.03926402683
880	0.0392197947
881	0.03900961083
882	0.03882203242
883	0.03878972376
884	0.03857000347
885	0.03834081511
886	0.03821251073
887	0.03804534916
888	0.03776173567
889	0.03762667032
890	0.03739488747
891	0.0372344452
892	0.03705046212
893	0.03683155665
894	0.03666640119
895	0.03650059162
896	0.03632174903
897	0.03618029348
898	0.03598057178
899	0.03586584953
900	0.03569791556
901	0.0354854249
902	0.03542215076
903	0.03515428866
904	0.03511269285
905	0.03500230522
906	0.03497799524
907	0.0348227999
908	0.03466663443
909	0.03452193533
910	0.0343940084
911	0.03422567406
912	0.03410203839
913	0.03389377155
914	0.03384306467
915	0.03369923263
916	0.03364657047
917	0.03351405809
918	0.03335184758
919	0.03313544102
920	0.03309809197
921	0.03293675176
922	0.03284336838
923	0.03264032284
924	0.03252455224
925	0.03250494995
926	0.03239121734
927	0.03230149388
928	0.03220612895
929	0.03207376517
930	0.031896389
931	0.03178892961
932	0.03164447664
933	0.03149971789
934	0.03140546008
935	0.03129673024
936	0.03120307428
937	0.03109333334
938	0.03097372844
939	0.03081862658
940	0.03061900385
941	0.03047807923
942	0.03035395221
943	0.03023596388
944	0.03010551074
945	0.02989321775
946	0.02979615732
947	0.02962424094
948	0.02952506969
949	0.0293714104
950	0.02928804097
951	0.02924757935
952	0.02908183147
953	0.02895534228
954	0.02886387133
955	0.02873108032
956	0.02854752934
957	0.02842243228
958	0.02831010548
959	0.02811837989
960	0.02808378498
961	0.02796984636
962	0.02783596573
963	0.02771658873
964	0.02760743801
965	0.02745295267
966	0.0274292448
967	0.02725774729
968	0.02716700816
969	0.0270576472
970	0.02700118542
971	0.02691757382
972	0.02682257534
973	0.02664548155
974	0.02652857307
975	0.02638584283
976	0.02625558816
977	0.02612973394
978	0.02603837158
979	0.02597582397
980	0.02584000745
981	0.0257605698
982	0.02570026252
983	0.02559655394
984	0.02551266003
985	0.02537130727
986	0.02532639206
987	0.02523946176
988	0.02511030156
989	0.02499128101
990	0.02492837915
991	0.02476232441
992	0.02465137385
993	0.02450580267
994	0.02441822834
995	0.02433332296
996	0.02417031594
997	0.02402540534
998	0.02395744387
999	0.0238677787
